project,bug type,file,function,line,report,type,result
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_structVersion,987,_portaudiomodule.c._pyAudio_Stream_get_structVersion-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_structVersion,995,_portaudiomodule.c._pyAudio_Stream_get_structVersion-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_inputLatency,1011,_portaudiomodule.c._pyAudio_Stream_get_inputLatency-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_inputLatency,1020,_portaudiomodule.c._pyAudio_Stream_get_inputLatency-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_outputLatency,1036,_portaudiomodule.c._pyAudio_Stream_get_outputLatency-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_outputLatency,1045,_portaudiomodule.c._pyAudio_Stream_get_outputLatency-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_sampleRate,1061,_portaudiomodule.c._pyAudio_Stream_get_sampleRate-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_sampleRate,1070,_portaudiomodule.c._pyAudio_Stream_get_sampleRate-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,pa_initialize,1216,_portaudiomodule.c.pa_initialize-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,pa_get_host_api_count,1256,_portaudiomodule.c.pa_get_host_api_count-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,pa_get_default_host_api,1283,_portaudiomodule.c.pa_get_default_host_api-refcount-errors.html,common,TP
pyaudio,RL,src/_portaudiomodule.c,pa_host_api_type_id_to_host_api_index,1311,_portaudiomodule.c.pa_host_api_type_id_to_host_api_index-refcount-errors.html,common,TP
