project,bug type,file,function,line,path length,report,result,category,issue,submit,count
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_structVersion,987,5,report-f81f43.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_structVersion,995,8,report-a216fd.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_inputLatency,1011,5,report-d4f598.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_inputLatency,1020,8,report-ae0729.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_outputLatency,1036,5,report-1f5f9e.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_outputLatency,1045,8,report-38648a.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_sampleRate,1061,5,report-72d89c.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,_pyAudio_Stream_get_sampleRate,1070,8,report-5614ba.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_initialize,1216,6,report-d69ddb.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_host_api_count,1256,8,report-7eace3.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_default_host_api,1283,8,report-a1c054.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_host_api_type_id_to_host_api_index,1311,8,report-ac675f.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_host_api_device_index_to_device_index,1340,8,report-4a55f1.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_host_api_info,1362,8,report-fc7894.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_device_count,1396,8,report-303ec1.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_default_input_device,1425,10,report-162d67.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_default_output_device,1454,10,report-113888.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_device_info,1476,8,report-7c3d12.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_open,1810,17,report-e1e597.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_open,1847,20,report-dcbfa1.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_open,1904,26,report-2b7589.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_open,1913,28,report-76a5b3.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_sample_size,1960,8,report-d4051b.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_is_format_supported,2034,18,report-9e84e2.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_start_stream,2060,7,report-64d8e1.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_start_stream,2079,11,report-31cb64.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_stop_stream,2124,11,report-4eae35.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_abort_stream,2168,11,report-10925a.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_is_stream_stopped,2193,7,report-df9537.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_is_stream_stopped,2211,10,report-79b52a.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_is_stream_active,2257,10,report-65b201.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_stream_time,2287,7,report-64f023.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_stream_time,2298,10,report-543e69.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_get_stream_cpu_load,2321,7,report-93829b.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_write_stream,2369,9,report-905457.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_write_stream,2403,15,report-ebc9dd.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_read_stream,2439,9,report-b31a34.html,TP,created passed to non-stealing,-,Non integrated Git platform,1
pyaudio,RL,src/_portaudiomodule.c,pa_read_stream,2454,12,report-d8817e.html,TP,leak on error handling branch,-,Non integrated Git platform,1
