project,file,time1,time2,time3,time4,time5,mem1,mem2,mem3,mem4,mem5,time-ave,mem-ave
pyaudio,pyaudio/src/_portaudiomodule.c,1.044,1.011,0.984,0.994,1.003,226328,226328,226328,226328,226328,1.007,226328
pycrypto,pycrypto/src/MD2.c,0.162,0.164,0.213,0.166,0.167,228260,228260,228260,228260,228260,0.174,454588
pycrypto,pycrypto/src/Blowfish.c,0.113,0.168,0.112,0.143,0.115,89052,89052,89052,89052,89052,0.130,317312
pycrypto,pycrypto/src/MD4.c,0.588,0.558,0.586,0.609,0.584,229920,229920,229920,229920,229920,0.585,318972
pycrypto,pycrypto/src/DES3.c,0.190,0.184,0.122,0.162,0.121,88848,88848,88848,88848,88848,0.156,318768
pycrypto,pycrypto/src/ARC4.c,0.169,0.101,0.107,0.133,0.098,88436,88436,88436,88436,88436,0.122,177284
pycrypto,pycrypto/src/SHA512.c,0.097,0.096,0.101,0.163,0.098,87124,87124,87124,87124,87124,0.111,175560
pycrypto,pycrypto/src/_fastmath.c,2.219,2.353,2.347,2.219,2.389,229560,229560,229560,229560,229560,2.305,316684
pycrypto,pycrypto/src/SHA224.c,0.097,0.100,0.132,0.136,0.136,87136,87136,87136,87136,87136,0.120,316696
pycrypto,pycrypto/src/strxor.c,0.111,0.139,0.113,0.112,0.116,227532,227532,227532,227532,227532,0.118,314668
pycrypto,pycrypto/src/cpuid.c,0.105,0.137,0.129,0.161,0.124,227736,227736,227736,227736,227736,0.131,455268
pycrypto,pycrypto/src/galois.c,0.120,0.120,0.178,0.117,0.157,227532,227532,227532,227532,227532,0.138,455268
pycrypto,pycrypto/src/XOR.c,0.163,0.129,0.139,0.142,0.101,227704,227704,227704,227704,227704,0.135,455236
pycrypto,pycrypto/src/_counter.c,0.237,0.266,0.239,0.254,0.242,227656,227656,227656,227656,227656,0.248,455360
pycrypto,pycrypto/src/CAST.c,0.514,0.538,0.521,0.520,0.503,102644,102644,102644,102644,102644,0.519,330300
pycrypto,pycrypto/src/DES.c,0.205,0.171,0.178,0.140,0.165,91064,91064,91064,91064,91064,0.172,193708
pycrypto,pycrypto/src/SHA384.c,0.097,0.130,0.129,0.138,0.124,87124,87124,87124,87124,87124,0.124,178188
pycrypto,pycrypto/src/RIPEMD160.c,0.160,0.144,0.123,0.125,0.123,229528,229528,229528,229528,229528,0.135,316652
pycrypto,pycrypto/src/AES.c,0.170,0.215,0.174,0.178,0.202,92152,92152,92152,92152,92152,0.188,321680
pycrypto,pycrypto/src/ARC2.c,0.180,0.139,0.142,0.141,0.140,90432,90432,90432,90432,90432,0.148,182584
pycrypto,pycrypto/src/AESNI.c,0.165,0.171,0.195,0.197,0.168,92756,92788,92756,92852,92772,0.179,183216.8
pycrypto,pycrypto/src/SHA256.c,0.099,0.096,0.129,0.130,0.116,87136,87136,87136,87136,87136,0.114,179920.8
pyxattr,pyxattr/xattr.c,1.278,1.283,1.280,1.270,1.504,227620,227620,227620,227620,227620,1.323,314756
python-rrdtool,python-rrdtool/rrdtoolmodule.c,3.077,3.017,3.045,3.048,3.026,228072,228072,228072,228072,228072,3.043,455692
dbus-python,dbus-python/dbus_glib_bindings/module.c,0.473,0.476,0.481,0.496,0.568,232824,232824,232824,232824,232824,0.499,460896
dbus-python,dbus-python/dbus_bindings/validation.c,1.385,1.376,1.342,1.394,1.370,228460,228460,228460,228460,228460,1.373,461284
dbus-python,dbus-python/dbus-gmain/dbus-gmain.c,0.341,0.373,0.351,0.423,0.348,95600,95600,95600,95600,95600,0.367,324060
dbus-python,dbus-python/dbus_bindings/mainloop.c,0.416,0.369,0.386,0.402,0.422,228200,228200,228200,228200,228200,0.399,323800
dbus-python,dbus-python/dbus_bindings/pending-call.c,0.338,0.269,0.374,0.385,0.376,228352,228352,228352,228352,228352,0.348,456552
dbus-python,dbus-python/dbus-gmain/tests/util.c,0.083,0.136,0.135,0.135,0.139,86804,86804,86804,86804,86804,0.126,315156
dbus-python,dbus-python/dbus_bindings/signature.c,0.132,0.182,0.211,0.206,0.174,228268,228268,228268,228268,228268,0.181,315072
dbus-python,dbus-python/dbus-gmain/tests/30574.c,1.969,1.859,1.985,1.876,1.918,145476,145476,145476,145476,145476,1.921,373744
dbus-python,dbus-python/dbus_bindings/conn.c,0.885,0.837,0.843,0.919,0.904,228268,228268,228268,228268,228268,0.878,373744
dbus-python,dbus-python/dbus_bindings/int.c,0.397,0.314,0.281,0.294,0.275,228352,228352,228352,228352,228352,0.312,456620
dbus-python,dbus-python/dbus_bindings/unixfd.c,0.186,0.136,0.212,0.220,0.173,228388,228388,228388,228388,228388,0.185,456740
dbus-python,dbus-python/test/import-repeatedly.c,0.065,0.110,0.067,0.113,0.107,85996,85996,85996,85996,85996,0.092,314384
dbus-python,dbus-python/test/dbus_py_test.c,0.138,0.139,0.142,0.218,0.138,228236,228236,228236,228236,228236,0.155,314232
dbus-python,dbus-python/dbus_bindings/containers.c,0.386,0.488,0.428,0.508,0.514,228468,228468,228468,228468,228468,0.465,456704
dbus-python,dbus-python/dbus_bindings/generic.c,0.154,0.170,0.106,0.109,0.104,228152,228152,228152,228152,228152,0.129,456620
dbus-python,dbus-python/dbus_bindings/message.c,2.143,1.993,2.011,2.150,2.064,228460,228460,228460,228460,228460,2.072,456612
dbus-python,dbus-python/dbus_bindings/exceptions.c,0.207,0.187,0.132,0.133,0.238,228360,228360,228360,228360,228360,0.179,456820
dbus-python,dbus-python/dbus_bindings/module.c,3.470,3.665,3.346,3.383,3.489,362828,362916,362864,362740,362840,3.471,591197.6
dbus-python,dbus-python/dbus_bindings/libdbusconn.c,0.213,0.266,0.266,0.305,0.317,228312,228312,228312,228312,228312,0.273,591149.6
dbus-python,dbus-python/dbus_bindings/float.c,0.107,0.165,0.176,0.182,0.109,228348,228348,228348,228348,228348,0.148,456660
dbus-python,dbus-python/dbus_bindings/abstract.c,0.207,0.305,0.275,0.209,0.203,228420,228420,228420,228420,228420,0.240,456768
dbus-python,dbus-python/dbus-gmain/tests/test-thread-server.c,0.398,0.371,0.463,0.408,0.364,107136,107168,107136,107136,107168,0.401,335568.8
dbus-python,dbus-python/dbus_bindings/message-append.c,3.660,3.638,3.515,3.597,3.620,325060,325060,325060,325060,325060,3.606,432208.8
dbus-python,dbus-python/dbus_bindings/string.c,0.435,0.436,0.429,0.494,0.428,228264,228264,228264,228264,228264,0.444,553324
dbus-python,dbus-python/dbus_bindings/server.c,2.804,2.815,3.050,2.939,2.842,271844,271844,271844,271584,271328,2.890,499952.8
dbus-python,dbus-python/dbus-gmain/tests/test-thread-client.c,0.186,0.181,0.213,0.233,0.184,101252,101252,101252,101252,101256,0.199,372941.6
dbus-python,dbus-python/dbus_bindings/conn-methods.c,1.374,1.322,1.253,1.379,1.270,245080,245080,245080,245080,245080,1.320,346332.8
dbus-python,dbus-python/dbus_bindings/debug.c,0.132,0.095,0.160,0.110,0.153,88888,88888,88888,88888,88888,0.130,333968
dbus-python,dbus-python/dbus_bindings/bytes.c,0.261,0.278,0.263,0.361,0.262,228268,228268,228268,228268,228268,0.285,317156
dbus-python,dbus-python/dbus_bindings/message-get-args.c,0.554,0.453,0.445,0.456,0.444,228512,228512,228512,228512,228512,0.470,456780
dbus-python,dbus-python/dbus_bindings/bus.c,0.489,0.527,0.532,0.548,0.448,228348,228348,228348,228348,228348,0.509,456860
duplicity,duplicity/duplicity/_librsyncmodule.c,0.142,0.141,0.142,0.138,0.141,227568,227568,227568,227568,227568,0.141,455916
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/_simd/_simd.dispatch.sse42.c,0.488,0.551,0.507,0.582,0.550,98740,98740,98740,98740,98740,0.536,326308
numpy,numpy/numpy/distutils/checks/cpu_avx512_icl.c,0.398,0.290,0.443,0.310,0.306,96960,96960,96960,96960,96960,0.349,195700
numpy,numpy/numpy/core/src/multiarray/datetime_busday.c,23.856,20.190,21.649,19.070,20.358,661120,661120,661116,661124,661120,21.025,758080
numpy,numpy/numpy/distutils/checks/cpu_sse3.c,0.074,0.076,0.075,0.073,0.070,84772,84772,84772,84772,84772,0.074,745892
numpy,numpy/numpy/distutils/checks/cpu_avx512_clx.c,0.421,0.456,0.380,0.413,0.458,96948,96948,96948,96948,96948,0.426,181720
numpy,numpy/numpy/distutils/checks/test_flags.c,0.083,0.088,0.086,0.080,0.083,80772,80772,80772,80772,80772,0.084,177720
numpy,numpy/numpy/distutils/checks/cpu_avx512cd.c,0.339,0.452,0.267,0.447,0.441,96992,97004,96992,97004,96992,0.389,177768.8
numpy,numpy/numpy/distutils/checks/cpu_popcnt.c,0.012,0.013,0.020,0.019,0.019,82656,82656,82656,82656,82656,0.017,179652.8
numpy,numpy/numpy/distutils/checks/cpu_sse2.c,0.068,0.061,0.063,0.070,0.068,83764,83764,83764,83764,83764,0.066,166420
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_unary_fp.dispatch.c,5.805,8.230,6.761,8.807,8.483,164380,164396,164368,164380,164364,7.617,248141.6
numpy,numpy/numpy/core/src/multiarray/arrayfunction_override.c,7.245,7.625,7.106,7.225,7.187,232860,232860,232860,232860,232860,7.278,397237.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithmetic.dispatch.c,15.156,14.394,13.967,12.540,15.284,282944,282940,282944,282944,282944,14.268,515803.2
numpy,numpy/numpy/core/src/umath/umathmodule.c,1.935,1.695,1.971,1.401,1.819,238500,238496,238500,238496,238488,1.764,521439.2
numpy,numpy/numpy/core/src/common/npy_longdouble.c,2.704,2.712,2.521,2.879,2.925,240156,240156,240156,240156,240156,2.748,478652
numpy,numpy/numpy/core/src/multiarray/common.c,20.071,19.014,20.171,17.388,17.716,508940,508932,508936,508952,509444,18.872,749196.8
numpy,numpy/numpy/core/src/umath/_umath_tests.dispatch.c,0.133,0.135,0.132,0.205,0.217,231656,231656,231656,231656,231656,0.164,740696.8
numpy,numpy/numpy/core/src/multiarray/refcount.c,13.205,13.363,13.064,10.183,9.745,359408,359404,359404,359404,359408,11.912,591061.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/_umath_tests.dispatch.avx2.c,0.550,0.569,0.549,0.389,0.616,103072,103072,103072,103072,103072,0.535,462477.6
numpy,numpy/numpy/core/src/multiarray/nditer_constr.c,38.020,25.872,29.758,28.906,33.840,601440,601416,601656,601808,601672,31.279,704670.4
numpy,numpy/numpy/core/src/multiarray/getset.c,38.323,32.986,37.285,36.107,33.771,657868,658368,657868,657860,657860,35.694,1259563.2
numpy,numpy/numpy/core/src/multiarray/vdot.c,0.350,0.354,0.223,0.329,0.344,232708,232708,232708,232708,232708,0.320,890672.8
numpy,numpy/numpy/core/src/umath/reduction.c,10.914,14.640,15.304,13.132,9.827,693064,693060,693060,693068,693056,12.763,925769.6
numpy,numpy/numpy/core/src/multiarray/buffer.c,17.131,16.992,14.590,17.296,17.320,368176,368152,368108,367884,368408,16.666,1061207.2
numpy,numpy/numpy/core/src/multiarray/dragon4.c,10.095,10.121,10.174,9.987,7.828,233656,233656,233656,233656,233656,9.641,601801.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/multiarray/nditer_templ.c,16.644,15.686,17.966,12.960,16.857,311372,311372,311372,311372,311372,16.023,545028
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/clip.c,17.970,18.114,14.878,13.501,16.516,193628,193628,193628,193628,193628,16.196,505000
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops.c,121.454,119.376,123.899,123.284,110.693,330080,329472,328772,329932,329444,119.741,523168
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/umath/loops_arithmetic.dispatch.avx512f.c,0.801,0.760,0.799,0.760,0.807,110212,110208,110208,110208,110208,0.785,439748.8
numpy,numpy/numpy/random/_mt19937.c,23.145,17.243,20.642,19.159,25.193,256172,256172,256176,256180,256180,21.076,366384.8
numpy,numpy/numpy/core/src/_simd/_simd.c,2.947,3.040,2.864,2.894,2.901,252388,252388,252388,252388,252388,2.929,508564
numpy,numpy/numpy/core/src/multiarray/datetime_strings.c,15.075,17.300,19.518,20.069,16.970,678740,678740,678744,678752,678732,17.786,931129.6
numpy,numpy/build/src.linux-x86_64-3.8/numpy/core/src/_simd/_simd.dispatch.c,13.068,13.726,14.256,9.950,11.275,239200,239200,239200,239200,239200,12.455,917941.6
numpy,numpy/numpy/random/src/mt19937/mt19937-jump.c,1.267,2.006,2.042,1.892,1.875,116568,116312,116312,116312,116312,1.816,355563.2
numpy,numpy/numpy/core/src/multiarray/shape.c,20.840,17.044,15.790,18.158,23.463,541908,541952,541952,541900,541952,19.059,658296
numpy,numpy/numpy/core/src/common/numpyos.c,7.185,6.570,7.293,7.811,5.919,236960,236976,236980,236980,236960,6.956,778904
numpy,numpy/numpy/distutils/checks/cpu_avx512_knl.c,0.452,0.272,0.259,0.434,0.432,97020,97024,97020,97020,97020,0.370,333992
numpy,numpy/numpy/random/src/sfc64/sfc64.c,0.196,0.189,0.179,0.185,0.187,91188,91188,91188,91188,91188,0.187,188208.8
numpy,numpy/numpy/core/src/multiarray/descriptor.c,20.961,17.783,23.687,26.437,20.123,426552,425468,425416,424840,425816,21.798,516806.4
